id,seguidores,taxa_historica,posts_30_dias,idade_perfil_meses,investimento,tamanho_legenda,hashtags,tempo_medio_video,concorrencia,horario_planejado,afinidade_publico,crescimento_recente,tem_video,tem_carrossel,tem_cta,tem_link,tema,canal,segmento,regiao,duracao_planejada,densidade_visual,idade_media_publico,cliques_historicos,frequencia_postagens,variedade_vocabulario,indice_sazonalidade,tempo_edicao,cores_criativo,proporcao_mobile,media_comentarios,videos_semana,taxa_compartilhamento_previa,variedade_hashtags,tamanho_titulo,audiencia_regional
100012749,2188.6455,0.051292926,10.236148,30.412989,66.508896,126.3684,1.9217615,4.183429,,16.480564,57.92055,56.52309,0,1,0,1,viagem,e,c,sul,9.925135,0.40818956,38.914997,38.230297,1.408234,40.665092,88.46561,19.3725,2.1005385,0.3279082,8.281141,2.9201295,0.04839107,3.754415,18.349081,0.23079515
100026248,1089.0116,0.059589434,7.1631064,23.032553,211.50165,151.40956,1.1164211,8.112528,57.976795,11.056472,43.25435,48.83032,0,1,0,1,cultura,d,d,sudeste,6.3230915,0.45762804,38.39216,9.401529,2.5221066,52.615913,100.15651,24.224045,1.9376856,0.3637169,23.376913,1.8909636,0.024082035,1.3182416,20.956942,0.28413233
100029549,1886.7133,0.0797282,5.449219,43.111496,341.12784,92.39149,1.9770093,6.000799,58.907825,3.3905973,51.868496,49.784466,0,0,0,0,cultura,d,d,centro,5.562449,0.34482014,30.44952,18.150846,2.7532377,72.6983,89.067566,19.966421,3.038041,0.5203543,4.2020802,2.0106955,0.055017274,2.2856188,34.84291,0.6250347
100047794,2998.8218,0.024589395,11.147546,6.840975,123.70748,137.08948,1.7599083,10.925697,31.410603,12.195421,53.64465,50.441074,1,0,0,0,cultura,e,c,centro,7.294712,0.42544225,35.55703,39.028126,3.8932204,59.208935,115.582504,3.6327894,3.098787,0.58082426,8.144534,3.727658,0.040873747,4.123301,25.233448,0.5544441
100048492,2723.451,0.050521027,3.8613882,14.459479,103.61244,131.03099,4.0766263,10.182129,62.423996,3.6735468,56.23944,68.90257,0,0,0,0,tecnologia,d,a,sul,8.039731,0.3272042,35.83379,18.224289,2.9425209,41.785103,110.17611,11.854712,3.1572912,0.5858324,5.6244226,3.9637408,0.07163554,2.4240088,18.507837,0.2551004
100005485,3297.4114,0.052625433,8.137626,16.253824,251.44579,294.22263,4.3013606,7.6689334,58.010002,11.116832,49.4033,64.3774,1,1,0,1,cultura,c,e,centro,6.3523293,0.29833075,37.764748,37.627453,2.5184278,46.598534,,48.444523,3.1474943,0.82987136,5.162446,2.6916845,0.08411548,2.0282495,13.580682,0.32171223
100041401,16677.314,0.02870188,12.59252,31.621422,145.65256,139.85306,2.1888778,5.8485966,71.36453,11.512248,47.12591,27.897627,0,1,1,0,cultura,b,e,sudeste,9.080195,0.38670647,35.953556,22.94437,6.2635827,46.11154,91.13716,31.913319,3.5543718,0.60760033,5.421727,2.2237434,0.04791412,2.0935946,26.345926,0.5297249
100026057,6361.4937,0.035160836,9.387161,28.96368,75.489296,209.73079,1.6562591,5.981503,50.350597,15.583274,22.292126,56.7286,0,0,1,0,tecnologia,a,a,norte,7.737517,0.31303173,41.24911,35.979332,1.5627993,38.647568,85.89334,14.497835,2.87092,0.6176405,11.160999,3.3977354,0.018199677,2.16386,14.471219,0.6643857
100050971,1428.2367,0.08043907,8.322155,38.83497,392.61475,226.99721,3.2584257,7.2779465,44.636642,6.117241,62.20226,43.718185,0,0,1,0,viagem,d,c,centro,8.087367,,28.700264,21.367723,2.3611248,48.38226,92.3112,53.8771,4.264745,0.6862633,6.2396145,2.8430848,0.09066482,4.360739,23.87021,0.7926312
100046186,5183.6694,0.03923412,8.947416,24.221972,122.96065,138.07912,3.2194788,5.4424424,65.252205,9.9016905,49.616676,38.73874,0,0,0,0,viagem,d,b,sul,8.178156,0.29745176,27.971794,31.58603,1.7983383,49.68801,125.84916,20.806118,3.3177373,0.22725525,9.020882,2.8352408,0.025513474,3.2211967,21.82792,0.7709859
