id,seguidores,taxa_historica,posts_30_dias,idade_perfil_meses,investimento,tamanho_legenda,hashtags,tempo_medio_video,concorrencia,horario_planejado,afinidade_publico,crescimento_recente,tem_video,tem_carrossel,tem_cta,tem_link,tema,canal,segmento,regiao,duracao_planejada,densidade_visual,idade_media_publico,cliques_historicos,frequencia_postagens,variedade_vocabulario,indice_sazonalidade,tempo_edicao,cores_criativo,proporcao_mobile,media_comentarios,videos_semana,taxa_compartilhamento_previa,variedade_hashtags,tamanho_titulo,audiencia_regional,alto_desempenho
100030229,18801.697,0.059851635,9.545669,23.902313,336.8995,55.946182,4.2699623,6.643238,57.80379,15.237646,44.68295,43.476307,0,1,0,1,politica,c,b,norte,5.54321,0.4504035,33.18896,32.19168,0.6901069,35.567863,98.23688,37.158813,2.7465057,0.27200428,2.7931979,6.3043585,0.04418308,3.9759429,19.902212,0.25340512,0
100026679,7926.7676,0.053955045,5.3832245,25.514036,93.449196,120.83171,4.173,7.432808,68.22745,7.2275343,44.38046,51.214558,0,1,1,0,tecnologia,e,d,sudeste,6.507814,0.45905116,34.313396,10.466192,2.0579317,42.98187,84.29375,12.864876,1.8127695,0.67929596,13.188572,3.7773786,0.028152687,1.1999774,17.376438,0.23465888,0
100026058,14775.295,0.05475426,4.3793416,68.99951,72.01439,74.14822,3.354098,4.6642447,46.70998,17.640778,62.21717,56.422127,0,0,0,0,cultura,c,e,norte,5.4836497,0.2901909,33.375286,17.745678,2.4127142,61.995556,101.38127,29.533846,1.8285509,0.20861822,13.04747,1.5142672,0.059028704,2.379127,23.778147,0.37068525,1
100020808,7641.892,0.049365208,9.541612,24.397646,47.046127,220.77505,3.7565374,9.039391,41.542213,10.294563,51.41118,32.335773,1,1,1,0,politica,b,a,sul,8.588035,0.33458048,29.015194,13.269818,1.5470722,50.714367,,46.49429,1.886366,0.5013254,10.619864,2.1882713,0.017266728,2.749229,33.465115,0.8284003,1
100005901,9809.5205,0.063069075,8.848832,9.981982,68.66994,149.63617,2.6471329,11.837066,56.21392,7.3414545,62.425087,37.530464,0,0,1,1,esporte,b,a,norte,5.39276,0.368305,32.22826,25.857445,0.74519366,58.172325,114.337006,33.528797,2.0111454,0.8029959,11.495121,1.7813923,0.049228318,2.4875257,20.037611,0.3406223,1
100053184,851.3581,0.04481597,14.7698765,49.545486,56.56535,212.19705,5.4053535,6.669723,41.1148,15.079787,55.40744,55.193344,0,0,0,1,viagem,b,d,nordeste,7.745472,0.32739422,34.218338,25.678501,3.9066937,37.75247,87.80324,23.39832,5.953296,0.57252157,5.981485,1.4410521,0.07383038,3.652003,15.471009,0.8395398,0
100004351,1020.4802,0.07180794,10.578711,22.686216,1018.87036,215.24872,5.355303,6.0383663,42.27561,10.15166,57.234646,51.93241,1,0,0,0,viagem,c,e,nordeste,8.116564,0.46536216,29.148397,18.216074,2.5625896,57.005295,106.17118,21.706394,2.4704106,0.24685913,10.050431,3.6630533,0.044407215,2.4483516,24.770216,0.38534683,0
100035862,8991.478,0.04380205,7.6389184,36.71564,278.73645,110.42596,1.950177,6.8169594,71.63114,15.19767,67.1459,82.867485,0,0,1,1,viagem,e,c,sudeste,6.7948318,0.3202195,37.08498,11.542015,1.6852837,54.526783,89.17167,29.645748,3.2353122,0.29794183,6.587715,1.9071592,0.054184716,2.8344626,11.521008,0.5607062,0
100028430,1566.9038,0.055756427,6.3521185,24.32527,443.06845,109.721214,2.5344846,8.632143,40.066437,14.308722,48.34265,39.125626,0,0,0,0,politica,a,c,centro,6.0157204,,41.64986,24.428139,3.550814,28.978931,107.298546,17.605562,1.7150347,0.6596511,3.1409905,2.9277017,0.024712587,3.119067,20.324276,0.8101945,0
100015772,2832.0461,0.09214683,11.580509,22.097536,199.6844,147.73639,2.4980316,11.041285,51.30116,10.629358,50.74116,66.019005,1,0,0,1,politica,c,b,sul,5.6352425,0.46285537,35.004772,24.297215,1.9866817,51.324013,97.34748,45.25137,3.2574985,0.64111924,11.95979,2.1097689,0.07356516,4.5632772,25.212147,0.711541,1
